8,13.11,88.45,2638000.00,223.96,458173.66,3096397.62
5,13.11,88.45,1130000.00,51.31,912087.31,2042138.62
10,13.93,93.72,3850000.00,539.96,432425.71,4282965.67
16,13.11,88.45,8990000.00,3774.95,288017.10,9281792.05
1,13.11,88.45,48000.00,0.93,14526819.46,14574820.39
9,13.93,93.72,3222000.00,354.96,432425.71,3654780.67
15,13.11,88.45,7950000.00,2754.95,288017.10,8240772.05
2,13.11,88.45,142800.00,2.75,7265666.37,7408469.12
4,13.11,88.45,718000.00,25.51,2727434.37,3445459.88
8,13.93,93.72,2638000.00,223.96,432425.71,3070649.67
11,13.93,93.72,4522000.00,779.46,432425.71,4955205.17
