0.025,0.218,0.103,0.347
0.023,0.212,0.201,0.436
0.022,0.212,0.071,0.305
0.022,0.212,0.234,0.467
0.024,0.212,0.084,0.320
0.025,0.218,0.055,0.298
0.024,0.218,0.088,0.331
0.023,0.218,0.093,0.334
0.022,0.218,0.167,0.408
0.022,0.218,0.099,0.339
0.023,0.218,0.077,0.318
0.021,0.212,0.130,0.363
0.022,0.212,0.156,0.390
0.022,0.218,0.128,0.368
0.026,0.212,0.211,0.448
0.021,0.212,0.105,0.338
0.057,0.212,0.344,0.614
0.027,0.212,0.066,0.305
0.026,0.212,0.166,0.404
0.024,0.212,0.077,0.314
0.023,0.342,0.052,0.417
0.053,0.101,0.075,0.229
0.115,0.342,0.052,0.508
0.034,0.101,0.102,0.237
0.056,0.342,0.095,0.493
0.046,0.342,0.066,0.454
0.036,0.342,0.054,0.432
0.022,0.342,0.233,0.596
0.019,0.342,0.086,0.447
0.037,0.101,0.046,0.184
0.024,0.342,0.095,0.461
0.033,0.101,0.094,0.228
0.070,0.101,0.085,0.257
0.327,0.101,0.034,0.463
0.037,0.101,0.077,0.215
0.034,0.101,0.163,0.299
0.021,0.342,0.059,0.422
0.040,0.342,0.135,0.517
0.019,0.342,0.073,0.435
0.021,0.342,0.055,0.418
0.121,0.202,0.070,0.392
0.035,0.202,0.091,0.327
0.035,0.198,0.042,0.274
0.067,0.198,0.038,0.303
0.036,0.202,0.091,0.329
0.044,0.198,0.190,0.431
0.037,0.202,0.092,0.331
0.052,0.198,0.064,0.313
0.034,0.202,0.039,0.274
0.063,0.198,0.082,0.342
0.076,0.198,0.133,0.407
0.035,0.198,0.132,0.364
0.034,0.202,0.047,0.283
0.038,0.202,0.120,0.360
0.033,0.198,0.076,0.306
0.034,0.202,0.051,0.286
0.065,0.202,0.112,0.379
0.057,0.202,0.119,0.377
0.057,0.198,0.035,0.289
0.047,0.202,0.076,0.325
0.039,0.602,0.140,0.781
0.038,0.602,0.328,0.968
0.037,0.602,0.151,0.790
0.038,0.602,0.091,0.731
0.032,0.602,0.087,0.722
0.045,0.602,0.095,0.743
0.043,0.602,0.057,0.702
0.056,0.602,0.126,0.784
0.037,0.582,0.290,0.908
0.050,0.602,0.210,0.862
0.085,0.602,0.049,0.736
0.059,0.582,0.041,0.682
0.034,0.582,0.131,0.746
0.041,0.582,0.045,0.667
0.034,0.582,0.199,0.815
0.034,0.582,0.093,0.709
0.034,0.582,0.191,0.807
0.041,0.602,0.090,0.733
0.064,0.602,0.038,0.704
0.038,0.602,0.070,0.709
0.090,1.271,0.036,1.397
0.044,1.025,0.061,1.130
0.088,1.025,0.255,1.368
0.315,1.271,0.055,1.641
0.036,1.271,0.127,1.434
0.048,1.271,0.052,1.371
0.041,1.025,0.086,1.152
0.159,1.271,0.375,1.806
0.038,1.025,0.105,1.168
0.041,1.271,0.139,1.452
0.035,1.025,0.042,1.102
0.040,1.271,0.109,1.420
0.043,1.271,0.115,1.428
0.051,1.271,0.106,1.429
0.035,1.271,0.083,1.389
0.040,1.025,0.057,1.122
0.039,1.271,0.052,1.362
0.038,1.025,0.112,1.175
0.033,1.025,0.782,1.840
0.061,1.271,0.132,1.464
