0.112,0.022,0.009,0.143
0.068,0.056,0.026,0.150
0.063,0.055,0.021,0.139
0.088,0.022,0.034,0.145
0.039,0.074,0.195,0.307
0.043,0.037,0.141,0.222
0.206,0.055,0.032,0.293
0.054,0.037,0.106,0.197
0.037,0.075,0.034,0.146
0.030,0.212,0.148,0.390
0.048,0.037,0.092,0.177
0.127,0.074,0.101,0.302
0.039,0.218,0.042,0.299
0.157,0.022,0.032,0.211
0.220,0.056,0.038,0.314
0.047,0.037,0.219,0.302
0.051,0.037,0.223,0.311
0.093,0.022,0.010,0.126
0.009,0.584,0.065,0.657
0.032,0.212,0.105,0.349
0.005,1.682,0.110,1.797
0.048,0.057,0.052,0.157
0.061,0.032,0.014,0.106
0.041,0.342,0.202,0.585
0.073,0.032,0.015,0.119
0.130,0.032,0.120,0.281
0.298,0.078,0.082,0.459
0.007,1.604,0.151,1.761
0.061,0.098,0.041,0.200
0.033,0.101,0.102,0.237
0.043,0.288,0.110,0.441
0.039,0.101,0.041,0.181
0.073,0.098,0.022,0.193
0.052,0.053,0.028,0.133
0.053,0.057,0.066,0.176
0.070,0.342,0.116,0.528
0.059,0.078,0.151,0.288
0.025,0.288,0.082,0.395
0.011,0.786,0.122,0.919
0.105,0.032,0.013,0.150
0.114,0.075,0.016,0.205
0.073,0.075,0.128,0.276
0.062,0.079,0.131,0.272
0.047,0.198,0.129,0.374
0.091,0.079,0.050,0.219
0.044,0.198,0.043,0.284
0.085,0.158,0.021,0.264
0.063,0.101,0.034,0.198
0.033,0.579,0.093,0.705
0.051,0.198,0.084,0.333
0.006,3.198,0.116,3.319
0.052,0.079,0.060,0.191
0.117,0.198,0.088,0.402
0.059,0.158,0.063,0.280
0.005,3.198,0.118,3.321
0.038,0.198,0.068,0.303
0.052,0.101,0.029,0.182
0.130,0.079,0.066,0.275
0.006,3.039,0.103,3.147
0.051,0.198,0.098,0.346
0.069,0.199,0.014,0.281
0.023,1.677,0.056,1.755
0.074,0.495,0.057,0.626
0.133,0.164,0.030,0.327
0.108,0.164,0.014,0.286
0.038,0.602,0.095,0.735
0.070,0.164,0.031,0.265
0.056,0.495,0.053,0.604
0.046,0.582,0.098,0.725
0.031,1.764,0.087,1.881
0.051,0.381,0.028,0.460
0.100,0.495,0.038,0.633
0.186,0.343,0.028,0.557
0.041,0.602,0.089,0.732
0.042,0.582,0.139,0.763
0.055,0.381,0.064,0.500
0.063,0.199,0.149,0.411
0.016,4.195,0.126,4.337
0.046,1.677,0.066,1.789
0.055,0.495,0.032,0.581
0.045,5.066,0.122,5.233
0.049,0.598,0.073,0.720
0.119,0.919,0.022,1.060
0.066,1.797,0.050,1.913
0.028,5.066,0.086,5.179
0.101,0.283,0.018,0.402
0.061,0.610,0.028,0.699
0.110,1.025,0.031,1.166
0.005,27.992,0.111,28.108
0.048,0.598,0.057,0.703
0.033,1.025,0.093,1.150
0.072,0.610,0.070,0.751
0.181,0.283,0.013,0.476
0.007,23.243,0.137,23.387
0.095,0.610,0.083,0.788
0.084,0.283,0.032,0.399
0.009,11.508,0.096,11.613
0.049,5.055,0.205,5.309
0.044,0.610,0.072,0.726
0.054,0.610,0.058,0.722
